Unnamed: 0,Rk,PLAYER,POSITION,AGE,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,POINTS,TEAM,GP,MPG,W,SALARY_MILLIONS
179,215,Andre Iguodala,SF,33,26.3,2.9,5.5,528,0.8,2.3,362,2.0,3.1,0.6509999999999999,605,0.9,1.3,706,0.7,3.3,4.0,3.4,1.0,0.5,0.8,1.3,7.6,GS,76,26.3,64,11.13
180,216,Manu Ginobili,SG,39,18.7,2.5,6.4,0.39,1.3,3.3,392,1.2,3.1,387,491,1.2,1.6,804,0.4,1.9,2.3,2.7,1.2,0.2,1.4,1.7,7.5,SA,69,18.7,51,14.0
181,217,Iman Shumpert,SG,26,25.5,2.6,6.4,411,1.2,3.4,0.36,1.4,3.0,469,507,0.9,1.2,789,0.5,2.4,2.9,1.4,0.8,0.4,1.0,2.0,7.5,CLE,76,25.5,48,9.66
182,219,Timofey Mozgov,C,30,20.4,3.1,6.1,515,0.0,0.0,0.0,3.1,6.1,517,515,1.2,1.4,0.8079999999999999,1.9,3.0,4.9,0.8,0.3,0.6,1.3,2.5,7.4,LAL,54,20.4,16,16.0
183,224,Danny Green,SG,29,26.6,2.6,6.6,392,1.7,4.6,379,0.9,2.0,0.42,523,0.4,0.5,0.8440000000000001,0.5,2.8,3.3,1.8,1.0,0.8,1.1,1.8,7.3,SA,68,26.6,51,10.0
184,225,David Lee,PF,33,18.7,3.1,5.3,0.59,0.0,0.0,,3.1,5.3,0.59,0.59,1.0,1.4,708,1.9,3.7,5.6,1.6,0.4,0.5,1.0,1.6,7.3,SA,79,18.7,58,1.55
185,227,Thabo Sefolosha,SF,32,25.7,2.8,6.4,441,0.7,1.9,342,2.1,4.4,484,0.4920000000000001,0.9,1.2,733,0.9,3.5,4.4,1.7,1.5,0.5,0.9,1.6,7.2,ATL,62,25.7,32,3.85
186,228,Rodney Stuckey,PG,30,17.8,2.3,6.3,373,0.5,1.5,317,1.8,4.7,391,412,2.1,2.7,748,0.2,2.0,2.2,2.2,0.4,0.0,1.4,1.1,7.2,IND,39,17.8,17,7.0
187,229,Justin Anderson,SF,23,16.4,2.5,5.9,424,0.8,2.6,299,1.7,3.3,522,0.49,1.4,1.7,0.7909999999999999,0.9,2.3,3.3,0.9,0.5,0.3,0.9,1.5,7.1,DAL/PHI,75,16.4,24,1.51
188,231,Tim Frazier,PG,26,23.5,2.5,6.2,403,0.6,2.0,313,1.9,4.2,446,453,1.5,2.0,0.76,0.5,2.1,2.7,5.2,0.9,0.1,1.6,2.0,7.1,NO,65,23.5,26,2.09
189,232,Joe Ingles,SF,29,24.0,2.5,5.5,452,1.5,3.4,441,1.0,2.1,471,589,0.6,0.8,735,0.3,2.9,3.2,2.7,1.2,0.1,1.3,2.0,7.1,UTAH,82,24.0,51,2.15
190,233,Brandon Jennings,PG,27,22.2,2.4,6.6,359,1.0,3.1,313,1.4,3.5,399,433,1.4,1.9,0.75,0.4,2.1,2.4,4.9,0.9,0.0,1.6,1.4,7.1,NY/WSH,81,22.2,37,5.0
191,236,Solomon Hill,SF,25,29.7,2.3,6.0,383,1.2,3.4,348,1.1,2.6,428,481,1.3,1.6,805,0.6,3.2,3.8,1.8,0.9,0.4,1.0,2.3,7.0,NO,80,29.7,34,11.24
192,238,Justin Hamilton,C,26,18.4,2.7,5.9,459,0.9,2.8,306,1.9,3.1,598,532,0.6,0.8,0.75,1.1,3.0,4.1,0.9,0.5,0.7,0.7,1.4,6.9,BKN,64,18.4,14,3.0
193,241,Jared Dudley,PF,31,21.3,2.5,5.4,454,1.2,3.2,379,1.3,2.2,0.5589999999999999,565,0.7,1.0,662,0.5,3.0,3.5,1.9,0.7,0.3,1.1,2.4,6.8,PHX,64,21.3,17,10.47
